"Keyword","Trends","Impressions"
"tarjeta roja futbol en vivo","[391,706,1259,809,731,968,970,1119,1188,1620,1143,1137,1000]","13041"
"roja directa tv","[342,638,1219,891,787,871,1080,928,1038,1305,1411,1465,1173]","13148"
"tarjeta roja fútbol en vivo","[314,702,1163,882,615,690,959,1002,922,1655,1481,1524,1329]","13238"
"rojadirecta pirlo","[661,1104,1298,1353,868,1064,1039,1146,987,1111,1103,1180,737]","13651"
"futbol en vivo","[368,903,1547,1058,1003,1133,1231,1120,1158,1171,1042,988,1041]","13763"
"la roja directa","[351,704,1268,1086,1010,857,1058,997,1036,1681,1396,1516,1446]","14406"
"roja","[670,948,1274,1141,1031,1155,1126,1194,1125,1351,1450,1331,1125]","14921"
"rojadirectatv","[437,933,1654,947,884,965,1156,1044,1049,1492,1323,2473,1373]","15730"
"pirlo","[678,1081,1425,1259,1226,1411,1373,1285,1304,1341,1262,1434,1203]","16282"
"roja directa partidos hoy","[390,832,1199,835,817,1309,1424,1157,1257,1911,1805,1988,1444]","16368"
"tarjetaroja","[358,894,1783,1184,1112,1300,1528,1342,1456,1991,2080,2154,1833]","19015"
"fútbol para todos","[351,897,2212,1250,1486,1521,2050,1716,1747,1575,1823,1579,1549]","19756"
"roja directa en vivo fútbol gratis","[323,765,1360,1060,1202,1478,1401,1497,1761,2320,2206,2418,2007]","19798"
"rojadirecta pirlo tv","[757,1210,1917,1683,1445,1775,1483,1547,1573,2000,1756,1850,1065]","20061"
"fútbol libre en vivo","[706,1319,2130,1477,1210,1577,1795,2027,2144,1908,1953,1642,2073]","21961"
"futbol para todos","[468,896,2716,1657,1970,2002,2392,2078,2129,1932,1950,1876,1836]","23902"
"tarjeta roja en vivo","[823,2130,3568,2156,2177,2648,3506,2474,2830,3963,3536,4093,2648]","36552"
"tarjeta roja directa","[1289,2482,4308,2560,2541,2983,3285,2882,2856,3921,3747,4050,3229]","40133"
"pirlo tv rojadirecta","[1183,2127,3496,2713,2337,2830,2656,2955,3349,3709,5090,5787,3828]","42060"
"rojadirecta en vivo","[2633,4936,8523,6289,5740,6690,6610,5996,6731,11474,9131,9844,7987]","92584"
"futbol","[3447,5114,7311,7335,7687,7824,8262,7806,8412,8999,8957,8239,8518]","97911"
"pirlotv","[2273,5671,11247,8186,7272,7394,8263,7892,8175,10885,11039,11658,9010]","108965"
"tarjeta roja tv","[3616,7492,13718,8095,7804,8743,10741,9054,11157,14966,14942,15415,11793]","137536"
"partidos de hoy","[3335,5856,7025,11784,12030,10537,10129,10874,11319,12324,11504,13162,20802]","140681"
"fútbol libre tv","[5102,11776,21224,12415,11918,12601,16247,15130,18280,16841,16967,16507,14387]","189395"
"livetv","[11534,14874,19317,19316,19951,13289,20251,17358,17901,14252,17770,18831,12526]","217170"
"futbol libre tv","[5891,12419,24156,15197,14379,15064,18175,17807,19013,21999,20973,21135,18406]","224614"
"rojadirecta tv","[7648,16351,27561,18015,19470,22295,26355,21809,24514,31255,34867,31782,26713]","308635"
"roja directa","[6288,16808,35551,25741,25098,25181,28934,25610,27947,38685,40788,42795,33667]","373093"
"tarjeta roja","[8306,19363,37569,24878,26140,26927,32160,27266,31848,42336,43351,44677,34920]","399741"
"pirlo tv","[14226,30121,51888,36450,32147,35983,39165,36400,40650,47970,48999,48553,40432]","502984"
"fútbol libre","[29330,63873,116161,83927,82382,79233,104540,99801,112625,126635,131910,135688,115352]","1281457"
"futbol libre","[24593,65100,136209,79189,72839,74063,141597,138964,143329,180682,186930,190039,164220]","1597754"
